Training: 2023-10-30 11:10:51,987-rank_id: 0
Training: 2023-10-30 11:30:25,141-Speed 1132.83 samples/sec   Loss 28.3126 ArcLoss 18.5181 MSE 9.7945  Epoch: 0   Global Step: 1700   Required: 44 hours
Training: 2023-10-30 11:30:42,880-Speed 1082.42 samples/sec   Loss 28.0366 ArcLoss 18.3362 MSE 9.7004  Epoch: 0   Global Step: 1750   Required: 44 hours
Training: 2023-10-30 11:31:00,390-Speed 1096.57 samples/sec   Loss 27.7800 ArcLoss 18.1869 MSE 9.5931  Epoch: 0   Global Step: 1800   Required: 44 hours
Training: 2023-10-30 11:31:18,050-Speed 1087.28 samples/sec   Loss 27.4010 ArcLoss 17.9257 MSE 9.4753  Epoch: 0   Global Step: 1850   Required: 44 hours
Training: 2023-10-30 11:31:35,352-Speed 1109.73 samples/sec   Loss 27.2885 ArcLoss 17.8663 MSE 9.4221  Epoch: 0   Global Step: 1900   Required: 44 hours
Training: 2023-10-30 11:31:52,846-Speed 1097.61 samples/sec   Loss 27.0714 ArcLoss 17.7126 MSE 9.3588  Epoch: 0   Global Step: 1950   Required: 44 hours
Training: 2023-10-30 11:32:09,733-Speed 1137.03 samples/sec   Loss 26.8642 ArcLoss 17.5906 MSE 9.2735  Epoch: 0   Global Step: 2000   Required: 44 hours
Training: 2023-10-30 11:32:26,587-Speed 1139.26 samples/sec   Loss 26.4924 ArcLoss 17.3480 MSE 9.1444  Epoch: 0   Global Step: 2050   Required: 44 hours
Training: 2023-10-30 11:32:44,137-Speed 1094.10 samples/sec   Loss 26.3461 ArcLoss 17.2602 MSE 9.0858  Epoch: 0   Global Step: 2100   Required: 44 hours
Training: 2023-10-30 11:33:00,975-Speed 1140.38 samples/sec   Loss 26.0976 ArcLoss 17.1029 MSE 8.9947  Epoch: 0   Global Step: 2150   Required: 44 hours
